X,Y,OBJECTID,Type,Name_Full,Name_Line1,Name_Line2,STATUS,ODE_Institution_ID,ODE_ELD_License_No,DHS_OHA_Alt_ID,Site_Address_Line1,Site_Address_Line2,Site_City,Site_State,Site_Zipcode,Site_Zipcode_Plus4,Mail_Address_Line1,Mail_Address_Line2,Mail_City,Mail_State,Mail_Zipcode,Mail_Zipcode_Plus4,Phone,Phone_Fax,Email,Website,Parent_Institution_Name,Grade_Lowest_NS12,Grade_Highest_NS12,Beginning_Age_In_Months,End_Age_In_Years,Early_Learning_HUB_Name,County_Name,County_FIPS_Code,DHS_CW_District_Number,FlashAlert_Region,SBHC_Name,JoinId,POINT_X,POINT_Y,cSteward,effDate,Review_Date,Review_Staff_Name,Review_Method
-13760935.9515,5168470.2922,15,Private School,Dome School,Dome School,,Active,,,100099,9367 Takilma Rd,,Cave Junction,OR,97523,0,PO Box 812,,Cave Junction,OR,97523,0,541-592-3911,,thedomeschool@gmail.com,http://www.domeschool.org/,,-1,9,-99,-99,Southern Oregon Early Learning Services,JOSEPHINE,33,8,Medford / Klamath Falls / Grants Pass,,100099,-123.61659089,42.04998763,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/07/09 00:00:00+00,Tricia MacInnes,"Google Streetview, Google search"
-13834759.2407,5168710.928,16,Child Care Center,ABC Kids Preschool & Daycare,ABC Kids Preschool & Daycare,,Inactive,,CC502665,,543 Hemlock St,,Brookings,OR,97415,9624,1277 Yeust Rd,,Azalea,OR,97410,,541-813-1221,,cynchanez@hotmail.com,,,,,1,12,South Coast Regional Early Learning Hub,CURRY,15,7,Medford / Klamath Falls / Grants Pass,,CC502665,-124.27975678,42.0515927800001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2016/11/30 00:00:00+00,Arron Heriford,Phone Call
-13834931.5833,5169433.5767,17,Public School,Azalea Middle School,Azalea Middle School,,Active,235,,,505 Pacific Ave,,Brookings,OR,97415,0,629 Easy St,,Brookings,OR,97415,9109,541-469-7427,541-469-7080,nicolem@brookings.k12.or.us,www.brookings.k12.or.us/,Brookings-Harbor SD 17C,6,8,-99,-99,South Coast Regional Early Learning Hub,CURRY,15,7,Medford / Klamath Falls / Grants Pass,,235,-124.28130496,42.0564129300001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/01/20 00:00:00+00,Chris Rowlette,Email
-13835288.3121,5169452.3282,18,Child Care Center,It's A Kid's World Preschool/Daycare,It's A Kid's World Preschool/Daycare,,Active,,CC503606,,543 Fern Ave,,Brookings,OR,97415,9613,543 Fern Ave,,Brookings,OR,97415,9613,541-661-7982,,shannonmibarra@yahoo.com,,,,,1,7,South Coast Regional Early Learning Hub,CURRY,15,7,Medford / Klamath Falls / Grants Pass,,CC503606,-124.28450951,42.056538,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/01/01 08:00:00+00,Dani Hall,Google Maps
-13835206.8029,5169631.3805,19,School District,Brookings-Harbor SD 17C,Brookings-Harbor SD 17C,,Active,1974,,,564 Fern Ave,,Brookings,OR,97415,0,629 Easy St,,Brookings,OR,97415,0,541-469-7443,,seang@brookings.k12.or.us,www.brookings.k12.or.us,South Coast ESD,-99,-99,-99,-99,South Coast Regional Early Learning Hub,CURRY,15,7,Medford / Klamath Falls / Grants Pass,,1974,-124.2837773,42.0577322400001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,,,
-13836257.1145,5169641.6718,20,Family Child Care Home,"Webre, Sharon Lynn","Webre, Sharon Lynn",,Active,,RF032949,,616 Easy Manor Dr,,Brookings,OR,97415,,PO Box 242,,Brookings,OR,97415,,541-469-1098,,smurph81@live.com,,,,,,,South Coast Regional Early Learning Hub,CURRY,15,7,Medford / Klamath Falls / Grants Pass,,RF032949,-124.29321241,42.0578008800001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/01/01 08:00:00+00,Dani Hall,Google Maps
-13834824.7822,5169657.8599,21,Public School,Brookings-Harbor High School,Brookings-Harbor High School,,Active,237,,,625 Pioneer Rd,,Brookings,OR,97415,0,629 Easy St,,Brookings,OR,97415,9109,541-469-2108,541-469-6570,lisad@brookings.k12.or.us,www.brookings.k12.or.us/,Brookings-Harbor SD 17C,9,12,-99,-99,South Coast Regional Early Learning Hub,CURRY,15,7,Medford / Klamath Falls / Grants Pass,Coast Community SBHC - Brookings Harbor,237,-124.28034555,42.05790885,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/01/20 00:00:00+00,Chris Rowlette,Email
-13835094.6018,5169874.1058,22,Public School,Kalmiopsis Elementary School,Kalmiopsis Elementary School,,Active,236,,,650 Easy St,,Brookings,OR,97415,0,629 Easy St,,Brookings,OR,97415,9109,541-469-7417,541-469-0413,HelenaC@brookings.k12.or.us,www.brookings.k12.or.us/,Brookings-Harbor SD 17C,-1,5,-99,-99,South Coast Regional Early Learning Hub,CURRY,15,7,Medford / Klamath Falls / Grants Pass,,236,-124.28276938,42.05935113,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/01/20 00:00:00+00,Chris Rowlette,Email
-13834050.5964,5170093.7992,23,Certified Family Child Care,Choices For Children,Choices For Children,,Active,,CF000433,,248 Lundeen Ln,,Brookings,OR,97415,7205,PO Box 4010,,Brookings,OR,97415,,541-254-4892,,choices4children@yahoo.com,,,,,4,11,South Coast Regional Early Learning Hub,CURRY,15,7,Medford / Klamath Falls / Grants Pass,,CF000433,-124.27339092,42.0608163700001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/01/01 08:00:00+00,Dani Hall,Google Maps
-13840286.2133,5174528.5955,24,Community College,Southwestern Oregon Community College - Curry Campus,Southwestern Oregon Community College,Curry Campus,Active,,,100372,96082 Lone Ranch Pkwy,,Brookings,OR,97415,0,96082 Lone Ranch Pkwy,,Brookings,OR,97415,0,541.813.1667,541-888-1696,,http://www.socc.edu/curry/,Southwestern Oregon Community College,-99,-99,-99,-99,South Coast Regional Early Learning Hub,CURRY,15,7,Medford / Klamath Falls / Grants Pass,,100372,-124.32940642,42.0903869100001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/07/09 00:00:00+00,Tricia MacInnes,"Google Streetview, Google search"
-13625500.1784,5177419.7674,25,Public School,Pinehurst Elementary School,Pinehurst Elementary School,,Active,407,,,15337 Hwy 66,,Ashland,OR,97520,9438,15337 Hwy 66,,Ashland,OR,97520,9438,541-482-1910,541-482-7956,sam@pinehurst.k12.or.us,www.pinehurstschool.us,Pinehurst SD 94,-1,8,-99,-99,Southern Oregon Early Learning Services,JACKSON,29,8,Medford / Klamath Falls / Grants Pass,,407,-122.39995064,42.10965738,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/01/14 00:00:00+00,Chris Rowlette,Email
-13625500.1784,5177419.7674,26,School District,Pinehurst SD 94,Pinehurst SD 94,,Active,2047,,,15337 Hwy 66,,Ashland,OR,97520,0,15337 Hwy 66,,Ashland,OR,97520,0,541-482-1910,,sam@pinehurst.k12.or.us,www.pinehurstschool.us,Southern Oregon ESD,-99,-99,-99,-99,Southern Oregon Early Learning Services,JACKSON,29,8,Medford / Klamath Falls / Grants Pass,,2047,-122.39995064,42.10965738,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,,,
-13413324.7959,5177908.7805,27,Public School,Union Elementary School,Union Elementary School,,Active,489,,,92398 Water Users Ln,,Lakeview,OR,97630,8016,92398 Water Users Ln,,Lakeview,OR,97630,8016,541-947-2553,541-947-2445,warners@lakeview.k12.or.us,http://www.lakeview.k12.or.us/schools/union_school.php,Lake County SD 7,-1,6,-99,-99,South-Central Oregon Early Learning Hub,LAKE,37,11,Bend/Central-Eastern Oregon,,489,-120.49394675,42.11291621,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2014/12/18 00:00:00+00,Chris Rowlette,Email
-13840741.6815,5178738.7421,28,Private School,Brookings Harbor Christian School,Brookings Harbor Christian School,,Active,,,100446,18881 Cornett Road,,Brookings,OR,97415,0,PO Box 5809,,Brookings,OR,97415,0,541-469-6478,541-412-7242,bhchristianschool1@frontier.com,http://bhchristianschool.webs.com/,,-2,12,-99,-99,South Coast Regional Early Learning Hub,CURRY,15,7,Medford / Klamath Falls / Grants Pass,,100446,-124.33349796,42.11844677,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/07/09 00:00:00+00,Tricia MacInnes,"Google Streetview, Google search"
-13573339.9983,5179587.9333,29,Public School,Keno Elementary School,Keno Elementary School,,Active,474,,,11110 Keno-Worden Rd,,Keno,OR,97627,0,PO Box 180,,Keno,OR,97627,180,541-883-5055,541-883-5028,steinerc@kcsd.k12.or.us,www.kcsd.k12.or.us,Klamath County SD,-1,6,-99,-99,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,474,-121.93138777,42.1241049700001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2014/12/18 00:00:00+00,Chris Rowlette,Email
-13758215.2731,5179677.2392,30,Private School,Madrone Adventist Elementary School,Madrone Adventist Elementary School,,Active,,,100102,4300 Holland Loop Rd,,Cave Junction,OR,97523,0,4300 Holland Loop Rd,,Cave Junction,OR,97523,0,541-592-3330,541-592-3330,madronadventist@yahoo.com,https://madrone22.adventistschoolconnect.org/,,1,8,-99,-99,Southern Oregon Early Learning Services,JOSEPHINE,33,8,Medford / Klamath Falls / Grants Pass,,100102,-123.59215062,42.1246999900001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/07/09 00:00:00+00,Tricia MacInnes,"Google Streetview, Google search"
-13572387.955,5181010.723,31,Family Child Care Home,"Wood, Kenneth Douglas","Wood, Kenneth Douglas",,Inactive,,RF524116,,14510 Clover Creek RD,,Klamath Falls,OR,97601,,14510 Clover Creek RD,,Klamath Falls,OR,97601,,541-274-9319,,KNWood007@yahoo.com,,,,,,,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,RF524116,-121.92283542,42.1335839500001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/07/11 00:00:00+00,Dani Hall,Google Maps
-13547145.0137,5183388.0184,32,Public School,Henley Elementary School,Henley Elementary School,,Active,473,,,8227 Hwy 39,,Klamath Falls,OR,97603,9788,8205 Hwy 39,,Klamath Falls,OR,97603,9788,541-883-5038,541-885-3356,prestonj@kcsd.k12.or.us,www.kcsd.k12.or.us,Klamath County SD,-1,6,-99,-99,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,473,-121.69607422,42.1494189200001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/02/19 00:00:00+00,Chris Rowlette,Email
-13546905.5544,5183633.089,33,Public School,Henley High School,Henley High School,,Active,485,,,8245 Hwy 39,,Klamath Falls,OR,97603,9797,8245 Hwy 39,,Klamath Falls,OR,97603,9797,541-883-5040,541-883-6663,leej@kcsd.k12.or.us,www.kcsd.k12.or.us,Klamath County SD,9,12,-99,-99,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,485,-121.69392312,42.1510510900001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/02/19 00:00:00+00,Chris Rowlette,Email
-13547160.3146,5183696.7777,34,Public School,Falcon Heights,Falcon Heights,,Active,4848,,,8205 Hwy 39,,Klamath Falls,OR,97603,9788,8205 Hwy 39,,Klamath Falls,OR,97603,9788,541-883-6699,541-885-3356,blairl@kcsd.k12.or.us,www.kcsd.k12.or.us,Klamath County SD,5,12,-99,-99,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,4848,-121.69621167,42.15147525,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/02/19 00:00:00+00,Chris Rowlette,Email
-13547303.7687,5184011.5639,35,Public School,Henley Middle School,Henley Middle School,,Active,481,,,7925 Hwy 39,,Klamath Falls,OR,97603,9799,7925 Hwy 39,,Klamath Falls,OR,97603,9799,541-883-5050,541-883-5012,creedk@kcsd.k12.or.us,www.kcsd.k12.or.us,Klamath County SD,7,8,-99,-99,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,481,-121.69750034,42.1535716500001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/02/19 00:00:00+00,Chris Rowlette,Email
-13763906.9563,5186008.319,36,Public School,Lorna Byrne Middle School,Lorna Byrne Middle School,,Active,449,,,101 S Junction Ave,,Cave Junction,OR,97523,9006,101 S Junction Ave,,Cave Junction,OR,97523,9006,541-592-2163,541-592-4851,scott.polen@threerivers.k12.or.us,www.threerivers.k12.or.us,Three Rivers/Josephine County SD,5,8,-99,-99,Southern Oregon Early Learning Services,JOSEPHINE,33,8,Medford / Klamath Falls / Grants Pass,Lorna Byrne Middle School,449,-123.64327988,42.16686794,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/05/06 00:00:00+00,Chris Rowlette,Email
-13763909.0023,5186013.873,37,Child Care Center,Lorna Byrne Head Start,Lorna Byrne Head Start,,Inactive,,CC503305,,101 S Junction Ave,,Cave Junction,OR,97523,,PO Box 3697,,Central Point,OR,97502,,541-592-2246,,clayton@socfc.org,,,,,36,5,Southern Oregon Early Learning Services,JOSEPHINE,33,8,Medford / Klamath Falls / Grants Pass,,CC503305,-123.64329826,42.16690492,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/07/15 00:00:00+00,Dani Hall,Google Maps
-13764070.1039,5186017.1126,38,Private School,Community Christian Academy,Community Christian Academy,,Active,,,100098,113 S Caves Ave,,Cave Junction,OR,97523,0,113 S Caves Ave,,Cave Junction,OR,97523,0,541-592-3896,,cbccca@gmail.com,http://www.communitybiblechurchandacademy.com/academy/,,-2,12,-99,-99,Southern Oregon Early Learning Services,JOSEPHINE,33,8,Medford / Klamath Falls / Grants Pass,,100098,-123.64474546,42.16692649,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/07/09 00:00:00+00,Tricia MacInnes,"Google Streetview, Google search"
-13762624.0281,5186066.6453,39,Public School,Illinois Valley High School,Illinois Valley High School,,Active,456,,,625 E. River St.,,Cave Junction,OR,97523,0,625 E. River St.,,Cave Junction,OR,97523,0,541-592-2116,541-592-4853,jamie.ongman@threerivers.k12.or.us,www.threerivers.k12.or.us,Three Rivers/Josephine County SD,9,12,-99,-99,Southern Oregon Early Learning Services,JOSEPHINE,33,8,Medford / Klamath Falls / Grants Pass,Illinois Valley High School,456,-123.63175514,42.1672562900001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/05/06 00:00:00+00,Chris Rowlette,Email
-13762969.7886,5186226.2151,40,Child Care Center,Southern Oregon Head Start Illinois Valley Center,Southern Oregon Head Start Illinois Valley Center,,Active,,CC502784,,620 E River St,,Cave Junction,OR,97523,,PO Box 3697,,Central Point,OR,97502,,541-592-3161,,kclayton@socfc.org,,,,,36,5,Southern Oregon Early Learning Services,JOSEPHINE,33,8,Medford / Klamath Falls / Grants Pass,,CC502784,-123.63486116,42.1683187300001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/01/01 08:00:00+00,Arron Heriford,Cadastral Data
-13763087.2129,5186281.4803,41,Child Care Center,Early Head Start - Cave Junction,Early Head Start - Cave Junction,,Active,,CC501663,,553 E River St,,Cave Junction,OR,97523,,PO Box 3697,,Central Point,OR,97502,,541-592-3259,,kclayton@socfc.org,,,,,1,3,Southern Oregon Early Learning Services,JOSEPHINE,33,8,Medford / Klamath Falls / Grants Pass,,CC501663,-123.635916,42.1686866900001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/01/01 08:00:00+00,Arron Heriford,Cadastral Data
-13347221.0291,5186339.2195,42,Public School,Adel Elementary School,Adel Elementary School,,Active,498,,,18286 Twenty Mile Rd,,Adel,OR,97620,0,PO Box 117,,Adel,OR,97620,117,541-947-3371,,bnash@lakeesd.k12.or.us,www.lakeesd.k12.or.us,Adel SD 21,4,8,-99,-99,South-Central Oregon Early Learning Hub,LAKE,37,11,Bend/Central-Eastern Oregon,,498,-119.90012651,42.1690711200001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/04/23 00:00:00+00,Chris Rowlette,Email
-13764937.9495,5186475.5884,43,Public School,Evergreen Elementary School,Evergreen Elementary School,,Active,443,,,520 W River St,,Cave Junction,OR,97523,0,520 W River St,,Cave Junction,OR,97523,0,541-592-3136,541-592-3186,david.regal@threerivers.k12.or.us,www.threerivers.k12.or.us,Three Rivers/Josephine County SD,-1,4,-99,-99,Southern Oregon Early Learning Services,JOSEPHINE,33,8,Medford / Klamath Falls / Grants Pass,Evergreen Elementary School,443,-123.65254145,42.1699790600001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/05/06 00:00:00+00,Chris Rowlette,Email
